Date,Location,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday,RainTomorrow
12/1/2008,Albury,13.4,22.9,0.6,44,20,24,71,22,1007.7,1007.1,No,No
12/2/2008,Albury,7.4,25.1,0,44,4,22,44,25,1010.6,1007.8,No,No
12/3/2008,Albury,12.9,25.7,0,46,19,26,38,30,1007.6,1008.7,No,No
12/4/2008,Albury,9.2,28,0,24,11,9,45,16,1017.6,1012.8,No,No
12/5/2008,Albury,17.5,32.3,1,41,7,20,82,33,1010.8,1006,No,No
12/6/2008,Albury,14.6,29.7,0.2,56,19,24,55,23,1009.2,1005.4,No,No
12/7/2008,Albury,14.3,25,0,50,20,24,49,19,1009.6,1008.2,No,No
12/8/2008,Albury,7.7,26.7,0,35,6,17,48,19,1013.4,1010.1,No,No
12/9/2008,Albury,9.7,31.9,0,80,7,28,42,9,1008.9,1003.6,No,Yes
12/10/2008,Albury,13.1,30.1,1.4,28,15,11,58,27,1007,1005.7,Yes,No
12/11/2008,Albury,13.4,30.4,0,30,17,6,48,22,1011.8,1008.7,No,Yes
12/12/2008,Albury,15.9,21.7,2.2,31,15,13,89,91,1010.5,1004.2,Yes,Yes
12/13/2008,Albury,15.9,18.6,15.6,61,28,28,76,93,994.3,993,Yes,Yes
12/14/2008,Albury,12.6,21,3.6,44,24,20,65,43,1001.2,1001.8,Yes,No
12/17/2008,Albury,14.1,20.9,0,22,11,9,69,82,1012.2,1010.4,No,Yes
12/18/2008,Albury,13.5,22.9,16.8,63,6,20,80,65,1005.8,1002.2,Yes,Yes
12/19/2008,Albury,11.2,22.5,10.6,43,24,17,47,32,1009.4,1009.7,Yes,No
12/20/2008,Albury,9.8,25.6,0,26,17,6,45,26,1019.2,1017.1,No,No
12/21/2008,Albury,11.5,29.3,0,24,9,9,56,28,1019.3,1014.8,No,No
12/22/2008,Albury,17.1,33,0,43,17,22,38,28,1013.6,1008.1,No,No
12/23/2008,Albury,20.5,31.8,0,41,19,20,54,24,1007.8,1005.7,No,No
12/24/2008,Albury,15.3,30.9,0,33,6,13,55,23,1011,1008.2,No,No
12/25/2008,Albury,12.6,32.4,0,43,4,19,49,17,1012.9,1010.1,No,No
12/26/2008,Albury,16.2,33.9,0,35,9,13,45,19,1010.9,1007.6,No,No
12/27/2008,Albury,16.9,33,0,57,0,26,41,28,1006.8,1003.6,No,No
12/28/2008,Albury,20.1,32.7,0,48,13,30,56,15,1005.2,1001.7,No,No
12/29/2008,Albury,19.7,27.2,0,46,19,30,49,22,1004.8,1004.2,No,Yes
12/30/2008,Albury,12.5,24.2,1.2,50,11,22,78,70,1005.6,1003.4,Yes,No
12/31/2008,Albury,12,24.4,0.8,39,17,17,48,28,1006.1,1005.1,No,No
1/1/2009,Albury,11.3,26.5,0,56,19,31,46,26,1004.5,1003.2,No,No
1/2/2009,Albury,9.6,23.9,0,41,19,11,44,22,1014.4,1013.1,No,No
1/3/2009,Albury,10.5,28.8,0,26,11,7,43,22,1018.7,1014.8,No,No
1/4/2009,Albury,12.3,34.6,0,37,6,17,41,12,1015.1,1010.3,No,No
1/5/2009,Albury,12.9,35.8,0,41,6,26,41,9,1012.6,1009.2,No,No
1/6/2009,Albury,13.7,37.9,0,52,4,26,33,8,1010.9,1006.7,No,No
1/7/2009,Albury,16.1,38.9,0,57,6,30,34,12,1007,1002.7,No,No
1/8/2009,Albury,14,28.3,0,48,17,24,43,15,1011.9,1010.9,No,No
1/9/2009,Albury,12.5,28.4,0,37,20,9,38,16,1017.8,1013.7,No,No
1/10/2009,Albury,17,30.8,0,37,15,11,36,24,1013.4,1008.1,No,No
1/11/2009,Albury,16.9,32,0,31,13,17,52,31,1009.9,1006.8,No,No
1/12/2009,Albury,17.3,34.7,0,35,7,15,48,16,1014.1,1012.1,No,No
1/13/2009,Albury,17.2,37.7,0,35,7,17,51,19,1015.7,1010.9,No,No
1/14/2009,Albury,17.4,43,0,39,7,17,40,8,1011.6,1006.9,No,No
1/15/2009,Albury,19.8,32.7,0,44,20,28,34,28,1008.4,1009.2,No,No
1/16/2009,Albury,14.9,26.7,0,56,20,31,46,20,1014.1,1012.7,No,No
1/17/2009,Albury,10.5,28.4,0,33,19,11,35,16,1019.7,1017.4,No,No
1/18/2009,Albury,11.3,32.2,0,28,17,15,34,17,1019.7,1016.2,No,No
1/19/2009,Albury,13.9,36.6,0,39,2,15,39,10,1015.8,1010.6,No,No
1/20/2009,Albury,18.6,39.9,0,61,9,20,36,21,1010.1,1004.8,No,No
1/21/2009,Albury,19.3,38.1,0.8,61,15,17,48,17,1009.6,1005.9,No,No
1/22/2009,Albury,24.4,34,0.6,98,26,48,60,39,1005.3,997.8,No,Yes
1/23/2009,Albury,18.8,35.2,6.4,52,6,28,43,28,1007.9,1003.9,Yes,No
1/24/2009,Albury,20.8,30.6,0,54,30,28,41,21,1005.4,1007.6,No,No
1/25/2009,Albury,14,34.3,0,24,7,13,44,10,1016.5,1014.6,No,No
1/26/2009,Albury,15.7,38.4,0,33,7,7,48,12,1017.7,1014.6,No,No
1/27/2009,Albury,18.5,38.2,0,31,9,17,48,25,1017.8,1014.1,No,No
1/28/2009,Albury,20.4,40.7,0,37,7,13,45,15,1014.9,1011.6,No,No
1/29/2009,Albury,21.8,41.5,0,24,6,11,38,13,1015.7,1011.8,No,No
1/30/2009,Albury,22.3,42.9,0,28,9,11,37,11,1014.6,1010.2,No,No
